,lr,epochs,val_acc,train_accs,val_accs,runtime,trial,method
10,0.00019331090010072104,23,0.649,"[0.43053061224489797, 0.4970816326530612, 0.5416122448979592, 0.5549795918367347, 0.5868775510204082, 0.6027551020408163, 0.611265306122449, 0.6299591836734694, 0.6392040816326531, 0.6417755102040816, 0.6492040816326531, 0.6541224489795918, 0.6552653061224489, 0.6626122448979592, 0.6707142857142857, 0.6725714285714286]","[0.418, 0.467, 0.523, 0.558, 0.574, 0.588, 0.599, 0.631, 0.637, 0.617, 0.64, 0.637, 0.647, 0.666, 0.654, 0.659]",48.233675718307495,11,Random Search
11,0.0012999008928437092,20,0.69,"[0.4726326530612245, 0.5320204081632653, 0.5661836734693878, 0.6198367346938776, 0.6017755102040816, 0.6193061224489796, 0.5984285714285714, 0.6435306122448979, 0.6856530612244898, 0.6844285714285714, 0.6954897959183673, 0.7023877551020408, 0.709204081632653, 0.7206938775510204, 0.7254285714285714, 0.7308163265306122, 0.7314693877551021]","[0.464, 0.516, 0.555, 0.608, 0.578, 0.609, 0.574, 0.634, 0.672, 0.664, 0.673, 0.681, 0.688, 0.709, 0.716, 0.714, 0.712]",51.28137469291687,12,Random Search
12,0.002238594952935019,13,0.591,"[0.4292448979591837, 0.5020408163265306, 0.5037959183673469, 0.5858571428571429, 0.5738367346938775, 0.581469387755102]","[0.444, 0.508, 0.48, 0.605, 0.561, 0.555]",18.124485731124878,13,Random Search
13,5.449705484803372e-06,20,0.367,"[0.1893265306122449, 0.24353061224489797, 0.2679183673469388, 0.29022448979591836, 0.3060612244897959, 0.3213061224489796, 0.33293877551020407, 0.3416530612244898, 0.3493673469387755, 0.35520408163265305, 0.36357142857142855, 0.36551020408163265, 0.3723061224489796, 0.37210204081632653]","[0.188, 0.23, 0.245, 0.283, 0.299, 0.328, 0.331, 0.341, 0.358, 0.332, 0.363, 0.368, 0.352, 0.349]",42.21134805679321,14,Random Search
14,0.001098919807882194,16,0.62,"[0.45677551020408164, 0.5787551020408164, 0.5671632653061225, 0.6301632653061224, 0.6522244897959184, 0.6632244897959184, 0.6809387755102041, 0.6782857142857143, 0.6934285714285714, 0.7147959183673469, 0.7165714285714285, 0.7219795918367347, 0.7297755102040816, 0.7291224489795919, 0.7331836734693877]","[0.434, 0.573, 0.536, 0.633, 0.65, 0.653, 0.682, 0.676, 0.69, 0.698, 0.703, 0.716, 0.726, 0.701, 0.71]",45.24173283576965,15,Random Search
15,1.5103499027652623e-05,15,0.412,"[0.2613673469387755, 0.31083673469387757, 0.34844897959183674, 0.3739795918367347, 0.39346938775510204, 0.4065714285714286, 0.4144081632653061, 0.422265306122449, 0.42722448979591837, 0.43144897959183676]","[0.242, 0.287, 0.313, 0.367, 0.381, 0.401, 0.389, 0.436, 0.414, 0.415]",30.210986137390137,16,Random Search
16,0.0007448794118834864,25,0.62,"[0.46085714285714285, 0.5723061224489796, 0.5953673469387755, 0.5896326530612245, 0.6169591836734694, 0.606204081632653, 0.6484081632653061, 0.6628775510204081, 0.6691836734693878, 0.6767551020408163, 0.697530612244898, 0.6926122448979591, 0.7088367346938775, 0.709204081632653, 0.7190408163265306]","[0.431, 0.566, 0.576, 0.58, 0.595, 0.587, 0.639, 0.646, 0.67, 0.681, 0.684, 0.688, 0.698, 0.683, 0.691]",45.35425567626953,17,Random Search
17,0.004159388450049581,14,0.639,"[0.33379591836734696, 0.43420408163265306, 0.48648979591836733, 0.5126734693877552, 0.5591020408163265, 0.5737551020408164, 0.6028163265306122, 0.6175714285714285, 0.645734693877551, 0.6404285714285715, 0.6621224489795918]","[0.316, 0.423, 0.481, 0.471, 0.524, 0.543, 0.604, 0.585, 0.647, 0.628, 0.639]",33.29016828536987,18,Random Search
18,6.770924248556235e-05,16,0.551,"[0.37516326530612243, 0.4317142857142857, 0.47148979591836737, 0.4876530612244898, 0.5052244897959184, 0.5178979591836734, 0.5258163265306123, 0.5357142857142857, 0.5411632653061225, 0.5424897959183673, 0.5512040816326531, 0.5521836734693878, 0.5554285714285714, 0.5566938775510204]","[0.351, 0.418, 0.465, 0.49, 0.495, 0.511, 0.516, 0.528, 0.531, 0.534, 0.54, 0.544, 0.53, 0.535]",42.17667269706726,19,Random Search
19,0.002178821188238041,5,0.632,"[0.45416326530612244, 0.5412040816326531, 0.5648979591836735, 0.6205306122448979, 0.6397755102040816]","[0.432, 0.515, 0.562, 0.598, 0.63]",15.04193902015686,20,Random Search
20,0.005039590626723194,5,0.531,"[0.37014285714285716, 0.4262448979591837, 0.46820408163265304, 0.5087142857142857, 0.5282857142857142]","[0.333, 0.415, 0.45, 0.502, 0.528]",15.10099172592163,21,Random Search
21,0.002337782115593758,23,0.65,"[0.43848979591836734, 0.5131020408163265, 0.5623061224489796, 0.5529183673469388, 0.617061224489796, 0.6328163265306123, 0.6429387755102041, 0.6244897959183674]","[0.44, 0.501, 0.571, 0.562, 0.602, 0.643, 0.604, 0.633]",24.16741371154785,22,Random Search
22,0.004742774450579903,18,0.623,"[0.3943265306122449, 0.4728775510204082, 0.4898571428571429, 0.5572857142857143, 0.58, 0.6130612244897959, 0.6159591836734694, 0.6379387755102041]","[0.374, 0.472, 0.465, 0.546, 0.553, 0.631, 0.614, 0.626]",24.200817823410034,23,Random Search
23,0.0006424722952955735,6,0.627,"[0.45718367346938776, 0.5439183673469388, 0.586204081632653, 0.6053877551020408, 0.6275918367346939, 0.6362244897959184]","[0.452, 0.536, 0.575, 0.587, 0.614, 0.633]",18.166699647903442,24,Random Search
24,7.813535594923323e-06,20,0.39,"[0.23218367346938776, 0.300469387755102, 0.33418367346938777, 0.353265306122449, 0.36273469387755103, 0.37442857142857144, 0.3833877551020408, 0.390265306122449, 0.397, 0.4008979591836735, 0.4033673469387755, 0.40655102040816327, 0.4088775510204082, 0.4107142857142857]","[0.225, 0.313, 0.322, 0.328, 0.373, 0.367, 0.375, 0.354, 0.386, 0.388, 0.386, 0.417, 0.392, 0.395]",42.271326541900635,25,Random Search
